routeName,linkStatus,routeMapCandidateIdCount,localMentionedStopCount,maximumStationIdOverlap,selectedBmsStopRowCount,selectedBmsUniqueStopCount,selectedDirectionNames,routeMapSnapshotDate,stopOrderSnapshotDate,localStopSnapshotDate,limitation
011,linked_unique_route_id,18,40,2,208,104,상행|하행,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
012,unresolved_no_station_overlap,10,27,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
013,unresolved_no_station_overlap,8,20,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
015,unresolved_no_station_overlap,11,20,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
016,unresolved_no_station_overlap,8,42,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
017A,unresolved_no_station_overlap,0,33,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
018,unresolved_no_station_overlap,2,20,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
019,unresolved_no_station_overlap,7,30,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
020,unresolved_no_station_overlap,13,23,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
021,unresolved_no_station_overlap,11,42,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
022A,unresolved_no_station_overlap,0,54,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
022B,unresolved_no_station_overlap,0,32,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
023,unresolved_no_station_overlap,9,35,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
024A,unresolved_no_station_overlap,0,46,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
024B,unresolved_no_station_overlap,0,34,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
025,unresolved_no_station_overlap,8,57,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
026,unresolved_no_station_overlap,5,61,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
027,unresolved_no_station_overlap,8,19,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
028,unresolved_no_station_overlap,4,12,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
029A,unresolved_no_station_overlap,0,9,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
029B,unresolved_no_station_overlap,0,45,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
030,unresolved_no_station_overlap,11,39,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
031,unresolved_no_station_overlap,9,9,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
