claim_id,claim,poster_value,reproduced_value,status,evidence_level,note,status_group
L1-01,고양시 행정동 수,44,44,일치,A1,MOIS 202606 키 유일,재현/확인
L1-02,65세 이상 인구,204876,204878,근소 불일치,A1,"포스터 204,876명은 65~109세 합계와 정확히 같고, 110세이상 여성 2명(화정1·대화 각 1명)이 누락됨",조건부
L1-03,고령인구 비율,19.4%,19.3749%,일치(반올림),A1,소수점 한 자리 반올림,재현/확인
L1-04,후보 8개 동 고령인구·고령화율,8/8 행,"8/8, 8/8",일치,A1,MOIS 202606 원표 재계산,재현/확인
L1-05,65~69세 1인세대 분리 가능 여부,연령구간상 분리 불가,"단일연령 열로 16,012명 계산 가능",포스터 한계 문구 오류,A1,2026.6 MOIS 1인세대 파일에 65·66·67·68·69세 남녀 열이 각각 있음,수정·명세 보완
L2-01,병·의원 등 요양기관,1397,1397,일치,A1,HIRA 2026.6 시군구코드 필터,재현/확인
L2-02,약국,496,496,일치,A1,HIRA 2026.6 시군구코드 필터,재현/확인
L2-QA,HIRA 주소-좌표 공간 품질,미기재,고양시 주소인데 경계 밖 좌표 1건,원자료 이상치,A1,"호수약국 1건의 좌표가 고양시 밖으로 판정됨; 포스터 수량 1,893에는 포함",수정·명세 보완
L3-01,버스정류장,2099,2099,일치,A1,고양시 2025-08-25 전체 행,재현/확인
L3-01B,고양시 44동 경계 내 버스정류장,"2,099개소로 표현","2,095개소",공간범위 불일치,A1,파주시 운정4동에 들어간 개선스포츠 2건·퍼스트가든 2건 제외,수정·명세 보완
L3-02,후보 8개 동 정류장당 경유노선,후보표 8개; 행주동 3.0,"7개 명확 일치; 행주동 122/40=3.05는 half-even 3.0, half-up 3.1",반올림 규칙 확인 필요,A1,admdongkor 20260401 공간결합+쉼표 토큰 수; 행주동은 ties-to-even 또는 절사일 때만 포스터 표기와 일치,수정·명세 보완
L3-03,현행 3개 동 vs 나머지 노선/정류장 평균,3.09 / 4.29,3.09 / 4.29,일치,A1,행정동별 평균의 그룹 평균,재현/확인
L3-04,노선/정류장 평균의 가중 기준,"전체 3.8, 현행3 3.09, 나머지41 4.29",전체 정류장가중 3.77; 그룹 정류장가중 2.75/3.94,가중기준 혼용,A1,"전체 3.8은 정류장 가중, 3.09/4.29는 행정동 평균의 단순평균으로 가중 기준이 다름",수정·명세 보완
SP-01,100m 격자 수,26606,26595,근소 불일치,A2,EPSG:5179 100m 국가격자 중심·admdongkor 20260401; 격자 원점/경계 처리가 포스터에 미기재,조건부
M-01,RI 단위와 대중교통 시간,"보행+대중교통, beta=0.8m/s로 표기","직선보행 대리, v=0.8m/s, beta=0.1/min",원모형 재현 불가,A3,0.8m/s는 속도이며 beta가 아님. 노선순서·배차·환승 데이터 부재,수정·명세 보완
