routeName,normalizedRouteNumber,matchStatus,candidateCount,officialRouteNumbers,officialOperators,officialHeadwayTexts,officialOrigins,officialDestinations,servingStopCount,routeMentionCount,headwaySnapshotDate,stopSnapshotDate,artifactSchemaVersion,analysisId,limitation
011,11,matched_multiple_candidates,2,11|11,명성운수㈜|(주)자안운수,06~9(9~12)|10(12~14),성석동|행주나루터,행신역|화정역,40,40,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
012,12,matched_unique,1,12,(주)동일여객,15~25,내유동,원당역,27,27,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
013,13,matched_unique,1,13,(주)동일여객,30,원신4통,원당역,20,20,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
015,15,matched_unique,1,15,(주)화정교통,15,성사중학교,성사중학교,20,20,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
016,16,matched_unique,1,16,(주)동일여객,30~60,세기마을 입구,화정역,42,42,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
017A,17A,matched_unique,1,017A,하나교통,40~55,산황동,원당역,33,33,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
018,18,matched_unique,1,18,(주)동일여객,06,우일시장,원당역,20,20,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
019,19,matched_unique,1,19,하나교통,08,원당역,우인아파트,30,30,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
020,20,matched_unique,1,20,보은교통㈜,08~12(10~15),화정역,화정역,23,23,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
021,21,matched_unique,1,21,보은교통㈜,10~15(15~20),화정역,행신역,42,42,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
