scenario_id,replacement_scope,destination_definition,facility_record_count,facility_weight_rule,source_version,beta_per_min,walking_speed_mps,top8_in_rank_order,jaccard_vs_baseline_top8,retained_from_baseline_count,removed_from_baseline,added_vs_baseline,replacement_count,evidence_boundary
baseline_medical,baseline_medical,HIRA 병의원·약국 직선보행 대리층,1893,기존 의료 가중(1.0/1.0),HIRA mixed snapshot baseline,0.1,0.8,가좌동 | 효자동 | 고양동 | 주교동 | 행주동 | 관산동 | 능곡동 | 송포동,1.0,8,,,0,공식 62개 서비스 위치·이용실적이 아닌 공개 복지목적지 대리층
partial_senior_centers,partial_facility_term_only,경로당 공개 좌표 대리층,585,각 레코드 동일가중; 최근거리만 사용,2025-06-30 공개좌표 585건,0.1,0.8,가좌동 | 효자동 | 주교동 | 관산동 | 행주동 | 고양동 | 능곡동 | 송포동,1.0,8,,,0,공식 62개 서비스 위치·이용실적이 아닌 공개 복지목적지 대리층
full_senior_centers,full_cag_and_facility_term,경로당 공개 좌표 대리층,585,각 레코드 동일가중,2025-06-30 공개좌표 585건,0.1,0.8,주교동 | 효자동 | 관산동 | 가좌동 | 고양동 | 행주동 | 성사2동 | 백석2동,0.6,6,능곡동 | 송포동,백석2동 | 성사2동,2,공식 62개 서비스 위치·이용실적이 아닌 공개 복지목적지 대리층
partial_senior_welfare_centers,partial_facility_term_only,노인복지관 공개 좌표 대리층,3,각 레코드 동일가중; 최근거리만 사용,2026-02-27 공개좌표 3건,0.1,0.8,고양동 | 관산동 | 가좌동 | 효자동 | 행주동 | 주교동 | 능곡동 | 중산1동,0.7777777777777778,7,송포동,중산1동,1,공식 62개 서비스 위치·이용실적이 아닌 공개 복지목적지 대리층
full_senior_welfare_centers,full_cag_and_facility_term,노인복지관 공개 좌표 대리층,3,각 레코드 동일가중,2026-02-27 공개좌표 3건,0.1,0.8,고양동 | 효자동 | 일산1동 | 일산2동 | 관산동 | 가좌동 | 행신1동 | 행신3동,0.3333333333333333,4,능곡동 | 송포동 | 주교동 | 행주동,일산1동 | 일산2동 | 행신1동 | 행신3동,4,공식 62개 서비스 위치·이용실적이 아닌 공개 복지목적지 대리층
partial_elder_care_providers,partial_facility_term_only,노인돌봄 수행기관 공개 좌표 대리층,10,각 레코드 동일가중; 최근거리만 사용,2026-03-02 공개좌표 10건,0.1,0.8,관산동 | 고양동 | 가좌동 | 주교동 | 행주동 | 효자동 | 중산1동 | 일산1동,0.6,6,능곡동 | 송포동,일산1동 | 중산1동,2,공식 62개 서비스 위치·이용실적이 아닌 공개 복지목적지 대리층
full_elder_care_providers,full_cag_and_facility_term,노인돌봄 수행기관 공개 좌표 대리층,10,각 레코드 동일가중,2026-03-02 공개좌표 10건,0.1,0.8,관산동 | 일산1동 | 고양동 | 가좌동 | 일산2동 | 중산1동 | 효자동 | 탄현1동,0.3333333333333333,4,능곡동 | 송포동 | 주교동 | 행주동,일산1동 | 일산2동 | 중산1동 | 탄현1동,4,공식 62개 서비스 위치·이용실적이 아닌 공개 복지목적지 대리층
partial_senior_centers_latest_linked_570,partial_facility_term_only,2026-06 최신 경로당 594행 중 2025 공개좌표와 엄격 연결된 좌표완성 570행,570,각 좌표완성 레코드 동일가중; 최근거리만 사용,2026-06 workbook 594; coordinate-complete linked subset 570; 24 incomplete,0.1,0.8,가좌동 | 효자동 | 주교동 | 관산동 | 행주동 | 고양동 | 능곡동 | 송포동,1.0,8,,,0,공식 62개 서비스 위치·이용실적이 아닌 공개 복지목적지 대리층
full_senior_centers_latest_linked_570,full_cag_and_facility_term,2026-06 최신 경로당 594행 중 2025 공개좌표와 엄격 연결된 좌표완성 570행,570,각 좌표완성 레코드 동일가중,2026-06 workbook 594; coordinate-complete linked subset 570; 24 incomplete,0.1,0.8,주교동 | 효자동 | 관산동 | 가좌동 | 고양동 | 행주동 | 성사2동 | 백석2동,0.6,6,능곡동 | 송포동,백석2동 | 성사2동,2,공식 62개 서비스 위치·이용실적이 아닌 공개 복지목적지 대리층
partial_combined_union,partial_facility_term_only,경로당+노인복지관+노인돌봄 수행기관 공개좌표 합집합,598,최근거리는 598개 레코드 합집합; 목록 간 동일 지점 중복 허용,2025-06-30 senior centers 585 + 2026-02-27 welfare centers 3 + 2026-03-02 providers 10,0.1,0.8,가좌동 | 효자동 | 주교동 | 관산동 | 행주동 | 고양동 | 능곡동 | 송포동,1.0,8,,,0,공식 62개 서비스 위치·이용실적이 아닌 공개 복지목적지 대리층
full_combined_record_equal,full_cag_and_facility_term,경로당+노인복지관+노인돌봄 수행기관 공개좌표 합집합,598,598개 레코드 동일가중(1건=1); 경로당 목록이 구조적으로 지배,2025-06-30 senior centers 585 + 2026-02-27 welfare centers 3 + 2026-03-02 providers 10,0.1,0.8,주교동 | 효자동 | 관산동 | 가좌동 | 고양동 | 행주동 | 성사2동 | 백석2동,0.6,6,능곡동 | 송포동,백석2동 | 성사2동,2,공식 62개 서비스 위치·이용실적이 아닌 공개 복지목적지 대리층
full_combined_layer_equal,full_cag_and_facility_term,경로당+노인복지관+노인돌봄 수행기관 공개좌표 합집합,598,3개 목록의 RI 총기여를 각 1/3로 규격화; 각 목록 내 레코드 동일가중,2025-06-30 senior centers 585 + 2026-02-27 welfare centers 3 + 2026-03-02 providers 10,0.1,0.8,효자동 | 가좌동 | 행주동 | 고양동 | 주교동 | 관산동 | 일산1동 | 일산2동,0.6,6,능곡동 | 송포동,일산1동 | 일산2동,2,공식 62개 서비스 위치·이용실적이 아닌 공개 복지목적지 대리층
